100 312
CantalupoNelSannio CivitellaDiRomagna 743.5
Lozza Sairano 37.73
MarcianoDellaChiana MazzoDiValtellina 240.38
Parzanica SantuLussurgiu 997.66
Ameno Monleale 198.45
Cupramontana RiesePioX 260.42
AurisinaCave Sairano 488.75
Alfano CasaleMonferrato 1865.37
Fénis OspitaleDiCadore 766.97
CantalupoNelSannio Moresco 104.79
AciCatena Piagge 978.89
SanLorenzoInCampo VadoCentro 748.93
GenzanoDiRoma Pignola 497.11
Fabrizio SavignanoSulRubicone 556.17
Ligosullo VillarSanCostanzo 625.77
Fabrizio OrcianoPisano 980.79
IsolaDelleFemmine PozzuoloDelFriuli 702.64
Ligosullo SanMarcoLaCatola 878.11
Ivrea Pie'DelSasso 700.33
Gualtieri Lovere 69.75
Ardesio Pie'DelSasso 862.28
Casalfiumanese SantaTeresaGallura 370.77
Borgarello Escolca 855.74
Cornuda Savelli 1061.04
AlbanoDiLucania OrcianoPisano 1195.21
Buonabitacolo Guarcino 478.34
Borgarello Roccavignale 93.86
BaratiliSanPietro Tursi 1113.92
Guarcino SanMarcoLaCatola 106.41
GualdoTadino Trovo 740.87
Brienno Piagge 886.36
Ivrea Picinisco 831.01
Alfano Ca'Rainati 906.51
Cornuda Ligosullo 225.71
BellinzagoLombardo SantuLussurgiu 1007.19
Colbordolo Martignacco 392.18
Buonabitacolo Montecosaro 493.37
BaratiliSanPietro SantuLussurgiu 10.83
Frontino PalùDelFersina 399.15
Cupramontana Nomi 582.76
Monreale Sant'Onofrio 575.8
MarcianoDellaChiana OspitaleDiCadore 659.36
GenzanoDiRoma IsolaDelleFemmine 529.74
ManerbaDelGarda Roè 10.3
CastelCondino Frontino 609.92
Guarcino Monleale 1119.02
Ca'Rainati Cartura 63.52
PalùDelFersina PozzuoloDelFriuli 165.45
OrcianoPisano PalùDelFersina 543.34
BellinzagoLombardo ManerbaDelGarda 151.63
Alfano Escolca 599.61
Frontino MirabellaImbaccari 374.54
Borgarello Caldes 143.83
Alagna PozzuoloDelFriuli 631.77
Ivrea Porcellengo 438.55
Cornuda SavignanoSulRubicone 281.61
Buonabitacolo GualdoTadino 301.4
Rigolato SantaMariaCapuaVetere 1026.53
AurisinaCave Cartura 205.05
PARTENZA Brusnengo
DESTINAZIONE QuarnaSopra
TAPPE
Porcellengo
Brusnengo
Roccavignale
Pignola
Ivrea
OrcianoPisano
Cartura
SantuLussurgiu
Picinisco
GualdoTadino
GranaMonferrato
RossanoVeneto
FaraSanMartino
Ca'Rainati
MazzoDiValtellina
Caldes
Saliceto
BellinzagoLombardo
Borgarello
Alagna
Ciampino
Venice
Tursi
AnguillaraSabazia
Sairano
AGGIORNAMENTI
Ca'Rainati Brusnengo 351.18
Tursi FaraSanMartino 274.09
Porcellengo FaraSanMartino 268.79
Caldes FaraSanMartino 392.98
AnguillaraSabazia MazzoDiValtellina 416.5
AnguillaraSabazia Picinisco 226.32
Cartura Picinisco 327.69
Borgarello Pignola 662.78
Ciampino Tursi 921.93
GualdoTadino BellinzagoLombardo 319.85
Roccavignale AnguillaraSabazia 556.69
Saliceto Porcellengo 575.16
Tursi BellinzagoLombardo 729.61
Borgarello Caldes 438.42
Brusnengo Porcellengo 508.44
FaraSanMartino Alagna 573.41
Caldes Sairano 434.43
Caldes Ciampino 730.51
Tursi BellinzagoLombardo 1484.76
Alagna FaraSanMartino 1214.59
Caldes Ivrea 568.75
Sairano Tursi 1349.99
