1000 5000
SanBellino Suvereto 142.98
CaprinoVeronese Ossi 2112.69
IsolaDelleFemmine Rodero 2931.36
Mapello Torrebelvicino 166.21
PozzuoloMartesana SerravalleSesia 478.54
Thiene VaranoBorghi 992.39
Gallicchio MarinaDiFuscaldo 170.65
Spinete Viadana 1240.93
BadiaCalavena LidoAdriano 400.78
Ponzano VaranoBorghi 1219.53
Crema SantoStefanoQuisquina 3733.43
Crespadoro Villette 870.92
MorroneDelSannio Presicce 1719.87
Pianoconte Valdieri 2984.0
PalmaDiMontechiaro SanLorenzoAlMare 3839.13
Arrone SanBenedettoInPerillis 260.9
Bonea Buscoldo 497.43
Trevi Vandoies-Vintl 350.05
Torrebelvicino Visciano 1291.21
Brogliano Lavenone 277.99
Portigliola Villamassargia 1131.22
Castagnito Strudà 2807.87
Corniglio PolpenazzeDelGarda 475.06
Mazzano Ozieri 1688.79
PozzaglioEdUniti SanteMarie 1317.89
Monteflavio Rebaudengo 2217.86
NoviLigure PavoneDelMella 635.51
Piano Soiano 2214.94
Briosco CasaleCorteCerro 315.91
Afragola Mendicino 789.16
Camposampiero Fragagnano 830.62
LequioBerria Sairano 160.11
Roncà Sava 3127.94
Grosseto Piea 1551.05
Castelfondo Torrebelvicino 42.89
Morgex Sant'Antonio 218.23
Siliqua Soiano 2698.35
Giusvalla Madrano-Canzolino 373.31
Brescello Castroreale 2136.01
Alessano Castelbuono 1159.8
Lanvario TuoroSulTrasimeno 561.78
Giuncugnano Roccalumera 2210.7
Brogliano Onzo 776.9
BelvedereSpinello PonteGaleria-LaPisana 673.13
Cicerale Craveggia 616.31
Carinola Genzone 2559.25
Prunetto SanChiricoNuovo 3489.43
GerolaAlta PessinaCremonese 270.9
Fanna NoviLigure 896.45
Montefusco Roncello 1946.47
SilvanoD'Orba Torpè 1416.83
Casalzuigno Portigliola 1402.96
Kamma Santena 3371.91
Magomadas SanLeonardo 1342.76
Casalgrasso CerroTanaro 280.2
Carovigno Nicosia 1681.67
BorgaroTorinese Rombiolo 1597.55
BagnoliDiSopra TrescoreBalneario 424.56
Acquaformosa Bentivoglio 2332.29
Luras Valnegra 804.55
LongoneSabino PuosD'Alpago 1518.47
Montegaldella Pescorocchiano 822.82
CastellettoMerli RoccellaValdemone 948.48
Carsoli Casignana 1173.15
Carsoli Mercallo 2037.36
Ambivere CervareseSantaCroce 753.33
CampigliaCervo Monteflavio 1585.76
GricignanoDiAversa Sant'ArcangeloTrimonte 208.3
Spinazzola VolturaraIrpina 450.09
Foggia IsolaDelLiri 556.42
Carovigno Lettopalena 1620.5
Carona Polonghera 926.11
SanGiovanniGemini SantaMariaDelMolise 1380.38
Divignano Gandino 473.51
Monteflavio Monzambano 1062.41
Caldiero Giacalone 2406.92
Progresso Salgareda 417.43
Cenaia Rogolo 661.88
Donnalucata Pernumia 3634.64
Rodero VerruaPo 80.61
Noto SolignanoNuovo 2545.35
Condofuri Padru 2484.65
CampolongoAlTorre-Cavenzano Neviglie 453.02
Borgorose Cosniga-Zoppè 1597.25
Boretto Nerviano 329.63
MezzanaRabattone NizzaMillefonti 500.76
Amato CaseNuove 2189.03
Colorina Pegolotte 207.48
Aidone Busachi 1259.98
Campospinoso PuegnagoSulGarda 349.28
Lanvario Santerno 1316.32
Agra Nicotera 3022.37
Crognaleto Triggiano 1273.62
Malalbergo RoggianoGravina 1443.85
Cicerale Treville 3265.57
Parre SanMauroAMare 1183.57
SorianoCalabro Trebbo 2675.35
Bolognano-Vignole Gragnano 2349.93
Paladina Torregrotta 3896.7
CasalPalocco MontorioRomano 115.39
CastiglioneD'Orcia PonteGaleria-LaPisana 472.82
Montenars SanBellino 667.97
ForlìDelSannio Pigna 966.16
CampoDiCarne LidoAdriano 346.98
Brescello Caspoggio 622.47
FavaleDiMalvaro Molinella 366.58
BadiaPavese SambucaDiSicilia 1980.05
Canelli Intragna 348.39
Povegliano Zumaglia 1769.71
Camponogara Castelbuono 2693.23
Viadana Vignola 379.03
Curinga Nerviano 1382.62
Formigliana SanFelice 633.87
CaseNuove SilvanoD'Orba 862.38
Manduria Terruggia 1936.67
CastellettoD'Orba TrescoreBalneario 585.28
Bannio Vimercate 369.54
Calasca-Castiglione Rezzato 778.03
CampigliaCervo RocchettaNuova 3145.05
Falerone RivaltaDiTorino 2336.96
Pompu Usini 382.34
Agra PrignanoSullaSecchia 611.96
Ripi TaibonAgordino 277.62
Lettomanoppello Vallà 779.47
Castelbelforte Pianoro 216.82
Trecenta Villaga 124.55
BassanoBresciano VolpagoDelMontello 245.81
DonniciInferiore Noto 1097.91
CannetoPavese Corrido 383.71
Dovera Villacidro 551.19
MelitoDiNapoli RoggianoGravina 995.13
Muros Piscina 1880.49
Parre TorreDe'Passeri 626.18
Foggia Sesto 712.98
Campertogno Canelli 396.36
Azzone Torriglia 569.26
CastelnuovoDiCeva Onanì 1055.65
FaggetoLario Rebaudengo 579.1
Civitavecchia Falerone 794.72
Forchia Latiano 717.53
Cipressa PietraMarazzi 448.38
Figliaro Oliena 749.4
Soldano Troia 1259.97
Tornata VaudaCanaveseSuperiore 227.61
SanPoloDeiCavalieri VillaMusone 483.75
CampolongoAlTorre-Cavenzano Sarno 1362.3
BagnoliDiSopra Treville 314.67
Bagnasco Stenico 1178.42
Aurisina VillaDiSerio 716.27
Borgorose Cimadolmo 635.07
CampoMarzio Manduria 612.35
CaramanicoTerme Pozzilli 160.33
Prepotto Zaccanopoli 668.23
Colombella Gandino 1568.81
Bogogno Niardo 194.55
BorgoDiTerzo FagnanoCastello 771.52
Casalgrasso Malalbergo 1434.26
CasascoIntelvi Tavarnuzze 409.2
Bentivoglio Forchia 1450.34
Nociglia Stenico 789.7
BoscoMarengo LequioBerria 206.89
Ardara Forlimpopoli 977.24
CollaltoSabino Malalbergo 620.62
Fontanella Portobuffolè 828.45
Ardesio Petriano 958.93
Follina Verdello 1089.03
Busachi MilanoDue 2092.43
Paladina Venticano 2609.75
MombelloDiTorino Pietrapertosa 1093.12
CasalPalocco Zuclo 1644.17
Fondi MontaltoDelleMarche 198.92
RuvoDiPuglia Tavarnuzze 1786.63
CastelnuovoParano CisanoBergamasco 1814.53
CastelRitaldi Vigasio 727.35
Cecina Lettomanoppello 1064.27
SantoStefanoQuisquina TravedonaMonate 1006.01
Nerviano SanFerdinandoDiPuglia 730.69
SanSosti VillanovaDelBattista 649.55
Sant'Apollinare Voltana 1266.39
Dovera SanCataldo 1408.83
Piattoni-VillaSant'Antonio Sagnino 734.48
Gavignano Sesto 300.97
Caldes Colorina 231.71
CastelnuovoParano ForteDeiMarmi 1144.96
Collesano Vandoies-Vintl 3934.83
Paladina Valfenera 225.98
Mattarello Suvereto 485.83
Intragna Palaia 1134.83
Carunchio CastelnuovoDiFarfa 117.55
SanFratello VaudaCanaveseSuperiore 1587.67
CuassoAlPiano Parre 82.21
Sant'EgidioAllaVibrata Seveso 1749.19
Colorno RiesePioX 427.94
Brienza Ottaviano 390.08
CervareseSantaCroce Ottaviano 588.59
Arona SanJacopoAlGirone 966.76
PolizziGenerosa Prepotto 485.67
Figliaro MonteArgentario 1113.41
Forchia Lauriano 1249.01
PuntaMarina Sairano 670.34
Carema TrescoreBalneario 550.56
CastelRozzone TonezzaDelCimone 332.03
FiglineValdarno Marco 926.69
Cassacco Polistena 2454.57
Candiolo Sestu 1148.2
Casalgrasso Mondolfo 1655.19
PonteNelleAlpi Portigliola 1070.93
BagnoRoselle SanGregorioNelleAlpi 1448.4
Carchitti Ozieri 691.65
SanPoloDeiCavalieri Setteville 47.46
Azzone Marcaria 308.23
CerroTanaro Maretto 36.76
Cantagallo Gravellona 715.73
Forlimpopoli Quassolo 1763.68
CampoMarzio Gaggio 894.43
CassanoIrpino CastelloDiGodego 2299.87
Durazzano LimoneSulGarda 2120.32
Mondovì PonteNelleAlpi 1986.86
Calamonaci Colombella 1789.7
Lentigione-SorboloAMane Monselice 518.94
Figliaro LongoneSabino 1423.45
CollaltoSabino SanGiovanniDelDosso 1305.4
CastelloDiGodego CastelnuovoDiCeva 1500.22
CampoDiCarne MonteneroDiBisaccia 467.38
Fluminata Rezzato 827.94
Neirone VillaMusone 1378.23
Lavinaio-Monterosso MottaSant'Anastasia 57.26
Grantola NizzaMillefonti 146.75
Arrone Centrache 782.06
Ardara Montagne 2309.77
CivitanovaMarche PessinaCremonese 946.95
Caluso Foglizzo 31.27
CasaleCorteCerro Pernumia 1112.81
Ardara Triggiano 1007.82
CannetoPavese Capua 1239.63
Fonteno Massiola 343.52
Chieve Motteggiana 403.65
Craco-Sant'Angelo Marcallo 2659.25
Brienza SanPietro 1922.89
Cene Trinitapoli 3346.67
Broni PalmaDiMontechiaro 2276.67
Afragola MezzanaRabattone 2677.98
CasalettoLodigiano SanCostantinoCalabro 1506.13
Saletto-SanBartolomeo Saonara 212.92
CastiglioneOlona SanNazzaro 907.97
FieraDiPrimiero PonteRonca 163.7
CapoD'Orlando SanGiovanniLipioni 787.31
CerroTanaro Grottolella 2360.44
AlìTerme LidoAdriano 1969.39
CastelloDiGodego Pompei 1871.43
Divignano SorianoCalabro 4346.08
Acerra Bubano 475.43
Caldarola Voltago 978.51
SantaMariaAVico Tettorosso 3142.18
Andalo Archi 606.42
CastelRozzone LignanoSabbiadoro 583.54
Leno Torresina 745.01
Pray Spirano 271.01
BorgaroTorinese Sant'Antonio 930.52
SanGiulianoDelSannio StazioneMontalto-Coretto 421.57
Padria SantaMariaDelMolise 2175.62
Ghislarengo Melpignano 3857.05
Bessude CastiglioneOlona 694.77
Caldes Castelfondo 55.69
Ambivere Badesi 601.42
Crone PrignanoSullaSecchia 310.9
Brienza MombelloDiTorino 2737.87
Colorno Grantola 424.85
Ciminna FrassoTelesino 554.93
Mamoiada VaranoDe'Melegari 1061.08
CampoMarzio Marcallo 1018.45
Confienza Maschito 1858.75
MottaSant'Anastasia SanLorenzoNuovo 824.55
Mombasiglio Roccabianca 832.14
Forano SanFiorDiSopra 603.28
BorgoDiTerzo Camposampiero 557.74
Colombella Manerbio 1150.48
Olmeneta SanBenedettoUllano 1264.68
SanTerenzo VillaCastelli 3597.81
PuntaMarina Saludecio 206.0
PietraMarazzi Propata 230.84
Casalgrasso Spinetoli 2312.23
Perledo Petrosino 3709.3
Monteflavio Stintino 1958.97
Giuncugnano VerruaPo 539.99
Caldes Manerbio 450.44
Borgoforte Cassacco 943.73
Fragagnano Manerbio 3434.23
Albignasego LugagnanoValD'Arda 657.92
Busachi Pettineo 924.0
Brescello Casto 337.62
ForlìDelSannio Renazzo 347.81
Caravate SerravalleSesia 142.71
MontaltoDelleMarche PerosaArgentina 2185.55
BellanteStazione Squinzano 619.07
Caldiero RivaltaBormida 277.14
Foligno Roncone 765.79
Delebio Sergnano 45.59
Montagne PieveDelCairo 877.64
Andalo Imposte 338.62
Ronago Sanza 3583.62
Briosco Caldonazzo 736.32
Gravellona Luras 779.76
Lavinaio-Monterosso Portalbera 2936.76
CasanovaElvo SanZenoneAlPo 271.79
Maretto Vistarino 212.9
CastelfrancoEmilia TioneDiTrento 148.9
Campertogno Cappelletta 1223.28
BagnoARipoli SantaGiuletta 334.64
Basiliano Cosniga-Zoppè 182.64
Castagnito Masera 317.91
Cagnò DolegnaDelCollio 367.15
CountryPark Valdieri 1461.62
Campochiesa Sezzadio 81.2
Barra Precenicco 1630.24
CassanoDelleMurge Roccalumera 421.46
Lavinaio-Monterosso Ossi 1714.16
Fondo Pontechianale 1858.44
Cremolino SanLuca 2707.63
Lasino SanLeonardo 546.73
Ferrandina Tavarnuzze 512.58
Calizzano Carunchio 1736.58
Lavenone Monteflavio 902.6
MonasteroloCasotto MonteneroDiBisaccia 797.02
Gallicchio Teverola 342.1
Ailano Polistena 1389.35
Brognaturo Portacomaro 622.92
Calatabiano Serdiana 2315.07
Castroreale Labico 817.29
PolizziGenerosa Sesto 3784.85
Intragna Meltina 451.72
Udine VerruaPo 541.12
Perledo Piea 320.04
Cervesina SanMauroAMare 1054.56
CampoDiCarne VillapianaLido 1810.87
CoregliaLigure MonteMiglioreLaSelvotta 678.01
AlìTerme SanGiorgioIonico 1054.44
PianoDiMommio Vervio 994.5
Marcallo Pontebba 782.17
CasalettoLodigiano SabbioChiese 270.71
CampagnolaEmilia Petrosino 2845.32
Baragiano Palaia 1940.72
Fontanella MonasteroloCasotto 863.73
Anela Feisoglio 1797.63
CastelfrancoEmilia VaudaCanaveseSuperiore 832.3
CastiglioneD'Orcia Mombasiglio 1010.13
RomettaMarea SanLorenzoAlMare 2212.66
BelvedereSpinello Soldano 2150.11
Carmignano Porto 901.66
FavaleDiMalvaro Torrebelvicino 972.71
Nerola SanGregorioNelleAlpi 513.93
Buscoldo CasascoIntelvi 601.82
Civezzano Ottaviano 2392.23
CapezzanoInferiore MottaSant'Anastasia 690.31
CastelnovoBariano SanNazario 395.34
Cicerale Milis 2196.82
Centinarola Civezzano 163.69
Perrero SantaMariaImbaro 853.35
SanBenedettoInPerillis Teramo 154.93
CerroTanaro Pistrino 1377.11
Proves-Proveis RossanoStazione 2460.25
Belvedere-PianoTavola Rebaudengo 3293.68
Pellizzano Udine 666.77
Castelbelforte SambucaDiSicilia 2728.8
Acerra Casteggio 1783.08
Colombella SanNazario 1142.54
Campomaggiore Monticchio 1358.82
Afragola Trevenzuolo 611.45
Agra Sant'AndreaApostoloDelloIonio 2325.0
SanGiorgioInSalici Sospiro 136.42
CervareseSantaCroce MaglianoInToscana 1002.61
Casteggio Castelbuono 3288.7
Pernumia SanMauroPascoli 411.63
Olmeneta RivaltaBormida 403.63
Campodarsego Rogolo 852.51
Casto Mondovì 851.47
Maccagno Rodero 56.68
Fiumalbo-Dogana Precenicco 624.84
CasaleCorteCerro MarinaDiSchiavonea 3342.3
Roburent RuvoDiPuglia 2219.28
Calvanico Zumaglia 638.28
Condofuri Ossi 771.84
Silea Verdello 561.37
Colturano Roccabianca 163.51
SantoStefanoRoero Vandoies-Vintl 904.11
Divignano MottaSant'Anastasia 1084.73
Dosso MirabellaImbaccari 1630.05
Merano Prunetto 1226.36
NizzaMillefonti SanNazzaroSesia 306.0
Alba Lavenone 804.01
Sant'ArcangeloTrimonte Torresina 3151.83
Dosolo Sant'AndreaApostoloDelloIonio 998.55
Capitignano Sestu 2332.45
Cappone Mesenzana 1414.11
Carona Gorreto 524.71
Aviatico SorianoCalabro 3463.58
Giave TrescoreBalneario 1679.93
Carmignano Gravellona 433.39
Ripi Roburent 652.45
FieraDiPrimiero Teggiano-Macchiaroli 1256.48
SanMauroTorinese Sant'Antonio 509.4
CannetoPavese Casignana 3650.61
Calatafimi Mentana 278.51
Neviglie Sant'EgidioAllaVibrata 682.95
Piangaiano VillanovaMarchesana 132.5
Neirone Portula 608.17
Longhi Progresso 341.76
Colturano Pontebba 965.01
BorgaroTorinese CapoD'Orlando 2948.44
Feisoglio Temù 916.46
Darfo PianaDegliAlbanesi 2049.8
Gavignano Precenicco 1209.05
Bagnasco SanJacopoAlGirone 900.44
Feisoglio Gragnano 3306.73
Durazzano Fanna 1054.1
Berzantina Cipressa 718.53
Andali Petrignano 368.48
Curinga FiglineValdarno 469.89
Quaderni SanBenedettoUllano 1881.04
Ferrandina MugnanoDiNapoli 932.16
SanFelice SantaMariaNuova 714.46
GorlaMinore Ottiglio 176.65
Patti VerruaPo 3287.88
Gorreto SilvanoD'Orba 238.81
Castelcucco Rosolina 261.52
PrignanoSullaSecchia RiesePioX 142.29
CasascoIntelvi RosignanoMarittimo 618.19
BelvedereSpinello Mondolfo 2022.75
Campodenno GiaccianoConBaruchella 527.54
Casabona Suelli 2561.52
Cagli Castagnito 427.35
Guardistallo MarinaDiSchiavonea 1788.44
StellaCilento Treviglio 2525.58
Gabella Sant'AntonioAbate 527.39
BaldisseroTorinese Divignano 125.93
Longhi Stilo 1233.89
Ballabio Trevico 3103.05
CampoMarzio RovelloPorro 2016.43
CasascoIntelvi PalmaDiMontechiaro 610.41
Fluminata Mammola 1618.49
IsolaDelleFemmine Zerbolò 1220.0
Mombasiglio VaranoDe'Melegari 248.32
CittàDellaPieve Lettopalena 312.68
CampagnolaEmilia Piano 1714.33
Mezzenile Montegranaro 2486.19
Baradili Gravellona 2097.2
Montegioco Rezzato 640.87
Afragola Casteggio 443.27
AzzanoDecimo CornedoVicentino 301.03
Caldarola Marsala 2165.36
Campodarsego Perrero 521.98
AlbanoSant'Alessandro Valli 424.53
RonchiDiCampanile Villamassargia 802.52
Dosolo Poggiorsini 2866.06
Archi OrioAlSerio 838.84
Conselice Gragnano 424.69
Rubiera Sestu 2264.08
BadiaPolesine ValpratoSoana 1179.14
Assemini Presicce 3245.09
Civesio Valdieri 395.22
Onanì SamMarino 1323.45
Fossacesia Fragagnano 1500.73
Andali CandiaLomellina 1749.67
Aielli FieraDiPrimiero 308.76
Montesegale PonteRonca 474.02
SanTerenzo Sassinoro 745.8
LignanoSabbiadoro RoggianoGravina 1126.28
Canalicchio Portobuffolè 2700.69
Camponogara MombelloDiTorino 951.73
Malalbergo Oliena 284.86
Leno SanGiuseppeLePrata-Cotropagno 1339.21
CoregliaLigure Mattarello 197.6
Masera SanLorenzoInCampo 1462.47
Cedrasco LimoneSulGarda 161.53
Formigliana PrignanoSullaSecchia 808.23
Lasino Mazzano 145.8
Bandito MassaD'Albe-Corona 691.39
RuvoDiPuglia SanteMarie 718.12
Spirano Vignola 694.34
Ardara FavaleDiMalvaro 1061.74
Niardo SanCristoforo 439.99
SclafaniBagni SerravalleSesia 718.36
Casteggio Mezzenile 598.56
SantaMariaDelMolise Seveso 2631.7
ConcordiaSullaSecchia StazioneMontalto-Coretto 2727.63
Civitaluparella Marsala 1034.06
Bessude SanFratello 2233.23
CastiglioneOlona Siddi 1890.4
Siliqua Villaseta 347.27
Aurisina Longhi 666.77
CascinaElisa PalmaDiMontechiaro 1275.05
Lavinaio-Monterosso SanMauroDiSaline 2430.12
Cucciago Usini 1599.94
Bova Pontechianale 4233.43
SanPietro Squinzano 1310.98
Anela Vignola 1830.44
Gaggio Osasio 644.0
MelitoDiNapoli Oliena 419.2
Perrero Udine 2131.12
Montalenghe Pescantina 395.09
Revere Squinzano 1707.88
GricignanoDiAversa SantaMariaNuova 389.62
SanCostantinoCalabro Vigasio 825.74
MontepulcianoStazione Toirano 747.3
Roburent VillaCarcina 347.04
Casalgrasso NaveSanRocco 383.53
Ballabio Rogolo 25.84
Muros Poggiorsini 606.73
DolegnaDelCollio Prizzi 1348.05
Corrido Sassetta 248.1
BadiaCalavena BorghettoDiBorbera 248.39
Caluso Santopadre 2733.2
Baraggia CastiglioneD'Orcia 1548.26
SabbioChiese Villaga 361.79
Pederiva RomettaMarea 3402.4
PettorazzaGrimani Zuclo 376.29
CampoMarzio VillaFornace 881.12
Roncone SanMauroTorinese 338.69
Marconia SanFelice 545.89
CassanoIrpino Delebio 1508.81
Casalbuttano SorianoCalabro 1527.75
Buonvicino Monticello 1565.84
Cossignano Gaiba 727.98
Cerano CerretoLanghe 224.08
FiglineValdarno Folzano 818.01
BagnoARipoli Posina 572.94
ConcordiaSullaSecchia Patti 2741.29
Muravera VillaCastelli 1630.51
Mozzecane Usini 523.22
CasanovaElvo FavaleDiMalvaro 127.21
Calasca-Castiglione PuntaMarina 291.64
MontorioAlVomano Sestola 487.27
SanPietroCapofiume VigaranoMainarda 58.61
BoscoMarengo Montefiascone 347.13
CerretoLanghe Palagianello 3382.92
Afragola Strangolagalli 114.74
Gragnano PramaggioreBlessaglia 2177.72
PolizziGenerosa Traves 2495.25
Corniglio Desulo 1260.67
Cossignano Trevico 1011.32
Brienza LonatePozzolo 1220.11
Idro SantaMariaAVico 2309.62
Valli VillanovaDelBattista 631.83
SanLorenzoInCampo Sassinoro 291.59
Amica Marcallo 3952.53
TravedonaMonate Treviglio 139.87
Casto SanCristoforo 313.36
Casalgrasso Firmo 858.86
AlbanoLaziale Latiano 826.53
Darfo Latiano 2418.49
Civitaluparella Giave 1096.26
Pescantina Sanza 2778.19
Rombiolo Sassetta 2291.05
Castroreale Perledo 2741.77
SclafaniBagni Trevico 562.22
Campli Pompu 2214.15
ArcinazzoRomano Biccari 414.58
Mendicino RovelloPorro 1988.19
Ailano Ozieri 514.1
ValpratoSoana Villette 342.97
Pertegada PozzaglioEdUniti 403.36
CastelfrancoEmilia TaibonAgordino 316.59
BrindisiMontagna Corniglio 2163.89
Lavinaio-Monterosso PalazzoloAcreide 190.32
Genzone SanMarcoD'Alunzio 803.25
Ala Monzambano 119.08
Ailoche MorroneDelSannio 1523.77
Berzantina Calvanico 976.7
Arona Pozzoleone 920.99
DolegnaDelCollio Spinete 1577.92
Gosaldo Villagrande 1550.7
SanPietroMussolino Tornata 208.75
Albignasego Piea 1256.57
Madignano SantaMariaNuova 922.69
RonchiDiCampanile SclafaniBagni 3275.31
Curinga Gorreto 3349.24
Cucciago Dovera 172.2
BelforteMonferrato Cosniga-Zoppè 348.04
Montesegale Pellaro 2774.35
Pellaro PuegnagoSulGarda 3967.45
Aielli Gandino 1492.94
Cesinali Portacomaro 2212.35
Carmignano Villette 961.33
Tonengo VillaFontana 893.61
Donnalucata Pianoconte 280.03
CaseNuove Resana 106.74
CampoJemini Sergnano 1057.98
Montegioco SommaVesuviana 1350.69
Sant'AndreaApostoloDelloIonio Voltana 2607.34
BorgoSanPaolo Genzone 115.54
MugnanoDiNapoli SanBellino 735.12
SanLorenzoNuovo Tolentino 91.1
CastelRozzone Centrache 3953.05
Carrodano Casciago 187.42
Colturano Manduria 1668.96
Crognaleto MilanoDue 1198.86
Grantola Saint-Christophe 438.77
Dogliola Pioraco 247.04
GricignanoDiAversa SanZenoNaviglio 425.48
Caldarola MombelloDiTorino 2398.66
Roncone Vimercate 217.89
Contrada Valenzano 430.76
Belverde PozzuoloMartesana 1074.02
SanPietroCapofiume Scansano 472.59
Montagne Suni 2081.43
Gravellona MontecalvoInFoglia 1043.92
Alessano Teggiano-Macchiaroli 318.35
GricignanoDiAversa Montiglio 840.77
Amato TioneDiTrento 3075.59
BelvedereSpinello BrindisiMontagna 380.61
Civitaluparella Manerbio 2078.86
Mozzecane Oliena 1775.46
PonteGaleria-LaPisana SclafaniBagni 1047.96
Maccagno MonteArgentario 482.36
IsolaDelleFemmine Madrano-Canzolino 2147.6
Esanatoglia Massanzago-Ca'Baglioni-SanDono 780.95
SambucaDiSicilia Sant'EgidioAllaVibrata 536.14
Carsoli Crespadoro 1022.02
Gaggio SolignanoNuovo 31.01
Capua SanFerdinandoDiPuglia 420.12
Gallicchio SanLeonardo 2482.28
Carchitti MarinaDiSchiavonea 963.99
Alife Salgareda 973.09
Galatina Troia 908.72
MassaD'Albe-Corona SettimoMilanese 1051.59
Fonteno SanMauroPascoli 531.68
Intragna Sezzadio 162.67
Cellole Portacomaro 1084.82
CassanoIrpino Cedrasco 2055.2
Fiesse GiaccianoConBaruchella 378.88
Assemini CasamicciolaTerme 1355.35
Eremo SanLeonardo 222.62
CandiaLomellina Setteville 663.04
Pozzoleone Sefro 779.25
CerretoLanghe Serdiana 399.94
Crema Torresina 650.38
Monteviale RoggianoGravina 2221.1
Gavignano Vicalvi 149.92
Montalenghe Torchiarolo 4152.39
LignanoSabbiadoro Marconia 2346.02
FaraInSabina ForlìDelSannio 603.73
Carsoli Treviglio 598.09
Montefusco Ripi 330.07
CaprinoVeronese Onanì 1344.41
Colleranesco Olmeneta 667.97
BarberinoDiMugello Rombiolo 2377.19
Acerra Pray 1777.7
Aidone Cirimido 826.17
Torrebelvicino Zuclo 258.54
Fluminata Magomadas 2212.45
Nicotera RossanoStazione 394.17
Bentivoglio Franche 1255.69
Calizzano SanGiovanniGemini 2105.04
Maccagno VillaFontana 401.47
